_id,controllerId,instrumentId,name,value,ts,mining,color,category,createdAt,updatedAt
660ef4e7d3f0dca700f45fef,6602d6d8b9f866224ef72699,6602d8271667db018ca164dc,CO,3,1712256231,YUMPAG,#0bb97d,success,2024-04-04T18:43:51.519Z,2024-04-04T18:43:51.519Z
660ef525d3f0dca700f467e6,6602d6d8b9f866224ef72699,6602d8271667db018ca164dc,CO,4,1712256293,YUMPAG,#0bb97d,success,2024-04-04T18:44:53.451Z,2024-04-04T18:44:53.451Z
660ef563d3f0dca700f46fc2,6602d6d8b9f866224ef72699,6602d8271667db018ca164dc,CO,3,1712256355,YUMPAG,#0bb97d,success,2024-04-04T18:45:55.393Z,2024-04-04T18:45:55.393Z
660ef5a1d3f0dca700f47858,6602d6d8b9f866224ef72699,6602d8271667db018ca164dc,CO,4,1712256417,YUMPAG,#0bb97d,success,2024-04-04T18:46:57.343Z,2024-04-04T18:46:57.343Z
660ef5dfd3f0dca700f4809b,6602d6d8b9f866224ef72699,6602d8271667db018ca164dc,CO,3,1712256479,YUMPAG,#0bb97d,success,2024-04-04T18:47:59.312Z,2024-04-04T18:47:59.312Z
660ef61dd3f0dca700f48891,6602d6d8b9f866224ef72699,6602d8271667db018ca164dc,CO,3,1712256541,YUMPAG,#0bb97d,success,2024-04-04T18:49:01.234Z,2024-04-04T18:49:01.234Z
660ef65bd3f0dca700f4904d,6602d6d8b9f866224ef72699,6602d8271667db018ca164dc,CO,3,1712256603,YUMPAG,#0bb97d,success,2024-04-04T18:50:03.179Z,2024-04-04T18:50:03.179Z
660ef699d3f0dca700f4986a,6602d6d8b9f866224ef72699,6602d8271667db018ca164dc,CO,3,1712256665,YUMPAG,#0bb97d,success,2024-04-04T18:51:05.126Z,2024-04-04T18:51:05.126Z
660ef6d7d3f0dca700f4a0e6,6602d6d8b9f866224ef72699,6602d8271667db018ca164dc,CO,3,1712256727,YUMPAG,#0bb97d,success,2024-04-04T18:52:07.103Z,2024-04-04T18:52:07.103Z
660ef715d3f0dca700f4a968,6602d6d8b9f866224ef72699,6602d8271667db018ca164dc,CO,3,1712256789,YUMPAG,#0bb97d,success,2024-04-04T18:53:09.025Z,2024-04-04T18:53:09.025Z
660ef752d3f0dca700f4b212,6602d6d8b9f866224ef72699,6602d8271667db018ca164dc,CO,3,1712256850,YUMPAG,#0bb97d,success,2024-04-04T18:54:10.987Z,2024-04-04T18:54:10.987Z
660ef790d3f0dca700f4ba81,6602d6d8b9f866224ef72699,6602d8271667db018ca164dc,CO,3,1712256912,YUMPAG,#0bb97d,success,2024-04-04T18:55:12.920Z,2024-04-04T18:55:12.920Z
660ef7ced3f0dca700f4c2d9,6602d6d8b9f866224ef72699,6602d8271667db018ca164dc,CO,3,1712256974,YUMPAG,#0bb97d,success,2024-04-04T18:56:14.870Z,2024-04-04T18:56:14.870Z
660ef80cd3f0dca700f4cb0e,6602d6d8b9f866224ef72699,6602d8271667db018ca164dc,CO,3,1712257036,YUMPAG,#0bb97d,success,2024-04-04T18:57:16.801Z,2024-04-04T18:57:16.801Z
660ef84ad3f0dca700f4d32a,6602d6d8b9f866224ef72699,6602d8271667db018ca164dc,CO,2,1712257098,YUMPAG,#0bb97d,success,2024-04-04T18:58:18.735Z,2024-04-04T18:58:18.735Z
660ef888d3f0dca700f4db68,6602d6d8b9f866224ef72699,6602d8271667db018ca164dc,CO,3,1712257160,YUMPAG,#0bb97d,success,2024-04-04T18:59:20.657Z,2024-04-04T18:59:20.657Z
660ef8c6d3f0dca700f4e3aa,6602d6d8b9f866224ef72699,6602d8271667db018ca164dc,CO,3,1712257222,YUMPAG,#0bb97d,success,2024-04-04T19:00:22.616Z,2024-04-04T19:00:22.616Z
660ef904d3f0dca700f4eb2c,6602d6d8b9f866224ef72699,6602d8271667db018ca164dc,CO,4,1712257284,YUMPAG,#0bb97d,success,2024-04-04T19:01:24.569Z,2024-04-04T19:01:24.569Z
660ef942d3f0dca700f4f346,6602d6d8b9f866224ef72699,6602d8271667db018ca164dc,CO,5,1712257346,YUMPAG,#0bb97d,success,2024-04-04T19:02:26.504Z,2024-04-04T19:02:26.504Z
660ef980d3f0dca700f4fb7f,6602d6d8b9f866224ef72699,6602d8271667db018ca164dc,CO,5,1712257408,YUMPAG,#0bb97d,success,2024-04-04T19:03:28.467Z,2024-04-04T19:03:28.467Z
660ef9bed3f0dca700f5035d,6602d6d8b9f866224ef72699,6602d8271667db018ca164dc,CO,5,1712257470,YUMPAG,#0bb97d,success,2024-04-04T19:04:30.403Z,2024-04-04T19:04:30.403Z
660ef9fcd3f0dca700f50b13,6602d6d8b9f866224ef72699,6602d8271667db018ca164dc,CO,5,1712257532,YUMPAG,#0bb97d,success,2024-04-04T19:05:32.327Z,2024-04-04T19:05:32.327Z
660efa3ad3f0dca700f51356,6602d6d8b9f866224ef72699,6602d8271667db018ca164dc,CO,5,1712257594,YUMPAG,#0bb97d,success,2024-04-04T19:06:34.281Z,2024-04-04T19:06:34.281Z
660efa78d3f0dca700f51b8f,6602d6d8b9f866224ef72699,6602d8271667db018ca164dc,CO,7,1712257656,YUMPAG,#0bb97d,success,2024-04-04T19:07:36.234Z,2024-04-04T19:07:36.234Z
660efab6d3f0dca700f5234c,6602d6d8b9f866224ef72699,6602d8271667db018ca164dc,CO,7,1712257718,YUMPAG,#0bb97d,success,2024-04-04T19:08:38.261Z,2024-04-04T19:08:38.261Z
660efaf4d3f0dca700f52b2e,6602d6d8b9f866224ef72699,6602d8271667db018ca164dc,CO,5,1712257780,YUMPAG,#0bb97d,success,2024-04-04T19:09:40.137Z,2024-04-04T19:09:40.137Z
660efb32d3f0dca700f53364,6602d6d8b9f866224ef72699,6602d8271667db018ca164dc,CO,4,1712257842,YUMPAG,#0bb97d,success,2024-04-04T19:10:42.111Z,2024-04-04T19:10:42.111Z
